#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2017-02-18T17:12:00,2017-02-18T17:16:30,2017-02-18T17:21:00,565.645,7.04662,525.38,559.39,581.39,614.06
2017-02-18T17:22:00,2017-02-18T17:24:30,2017-02-18T17:27:00,563.476,7.9791,525.38,559.39,581.39,614.06
2017-02-18T17:38:00,2017-02-18T17:39:30,2017-02-18T17:41:00,561.001,8.23837,525.38,559.39,581.39,614.06
2017-02-18T17:42:00,2017-02-18T17:44:00,2017-02-18T17:46:00,560.904,8.81257,525.38,559.39,581.39,614.06
2017-02-18T18:37:00,2017-02-18T18:42:00,2017-02-18T18:47:00,566.82,5.75983,525.38,559.39,581.39,614.06
2017-02-18T18:48:00,2017-02-18T18:52:30,2017-02-18T18:57:00,565.8,6.23751,525.38,559.39,581.39,614.06
2017-02-18T18:58:00,2017-02-18T19:02:00,2017-02-18T19:06:00,565.116,6.17166,525.38,559.39,581.39,614.06
2017-02-18T19:07:00,2017-02-18T19:12:00,2017-02-18T19:17:00,563.011,7.57511,525.38,559.39,581.39,614.06
2017-02-18T19:18:00,2017-02-18T19:22:00,2017-02-18T19:26:00,559.942,8.21309,525.38,559.39,581.39,614.06
2017-02-18T19:27:00,2017-02-18T19:29:30,2017-02-18T19:32:00,560.123,8.69188,525.38,559.39,581.39,614.06
2017-02-18T20:32:00,2017-02-18T20:32:30,2017-02-18T20:33:00,566.508,5.11651,525.38,559.39,581.39,614.06
2017-02-18T20:34:00,2017-02-18T20:38:30,2017-02-18T20:43:00,565.917,5.40843,525.38,559.39,581.39,614.06
2017-02-18T20:44:00,2017-02-18T20:48:30,2017-02-18T20:53:00,564.57,5.65893,525.38,559.39,581.39,614.06
2017-02-18T20:54:00,2017-02-18T20:58:00,2017-02-18T21:02:00,562.82,6.13188,525.38,559.39,581.39,614.06
2017-02-18T21:03:00,2017-02-18T21:08:00,2017-02-18T21:13:00,559.6,7.183,525.38,559.39,581.39,614.06
2017-02-18T21:14:00,2017-02-18T21:16:00,2017-02-18T21:18:00,558.492,5.26082,525.38,559.39,581.39,614.06
2017-02-18T22:26:00,2017-02-18T22:27:30,2017-02-18T22:29:00,566.775,5.44272,525.38,559.39,581.39,614.06
2017-02-18T22:30:00,2017-02-18T22:34:30,2017-02-18T22:39:00,566.127,5.73493,525.38,559.39,581.39,614.06
2017-02-18T22:40:00,2017-02-18T22:44:30,2017-02-18T22:49:00,564.638,6.16032,525.38,559.39,581.39,614.06
2017-02-18T22:50:00,2017-02-18T22:54:30,2017-02-18T22:59:00,560.665,6.99547,525.38,559.39,581.39,614.06
2017-02-18T23:00:00,2017-02-18T23:02:00,2017-02-18T23:04:00,559.253,8.92249,525.38,559.39,581.39,614.06
2017-02-19T00:20:01,2017-02-19T00:22:31,2017-02-19T00:25:01,566.705,5.65668,525.38,559.39,581.39,614.06
2017-02-19T00:26:01,2017-02-19T00:31:01,2017-02-19T00:36:01,563.789,8.81783,525.38,559.39,581.39,614.06
2017-02-19T00:37:01,2017-02-19T00:41:01,2017-02-19T00:45:01,561.714,8.61215,525.38,559.39,581.39,614.06
2017-02-19T00:46:01,2017-02-19T00:48:01,2017-02-19T00:50:01,560.266,7.37931,525.38,559.39,581.39,614.06
2017-02-19T02:16:01,2017-02-19T02:18:31,2017-02-19T02:21:01,562.384,9.23958,525.38,559.39,581.39,614.06
2017-02-19T02:22:01,2017-02-19T02:26:31,2017-02-19T02:31:01,560.376,8.71902,525.38,559.39,581.39,614.06
2017-02-19T02:32:01,2017-02-19T02:34:31,2017-02-19T02:37:01,559.098,7.07613,525.38,559.39,581.39,614.06
2017-02-19T04:11:01,2017-02-19T04:14:31,2017-02-19T04:18:01,560.855,8.07172,525.38,559.39,581.39,614.06
2017-02-19T04:19:01,2017-02-19T04:21:01,2017-02-19T04:23:01,560.61,8.03643,525.38,559.39,581.39,614.06
2017-02-19T06:04:01,2017-02-19T06:04:01,2017-02-19T06:04:01,563.516,4.23572,525.38,559.39,581.39,614.06
2017-02-19T06:05:01,2017-02-19T06:07:01,2017-02-19T06:09:01,564.029,5.26807,525.38,559.39,581.39,614.06
2017-02-19T06:59:01,2017-02-19T06:59:31,2017-02-19T07:00:01,566.587,5.11608,525.38,559.39,581.39,614.06
2017-02-19T07:01:01,2017-02-19T07:04:01,2017-02-19T07:07:01,566.566,4.62743,525.38,559.39,581.39,614.06
2017-02-19T07:51:01,2017-02-19T07:53:01,2017-02-19T07:55:01,563.657,7.12481,525.38,559.39,581.39,614.06
2017-02-19T08:45:01,2017-02-19T08:45:31,2017-02-19T08:46:01,567.977,4.97654,525.38,559.39,581.39,614.06
2017-02-19T08:47:01,2017-02-19T08:51:31,2017-02-19T08:56:01,567.763,5.48731,525.38,559.39,581.39,614.06
2017-02-19T08:57:01,2017-02-19T08:58:31,2017-02-19T09:00:01,567.154,5.37783,525.38,559.39,581.39,614.06
2017-02-19T09:37:01,2017-02-19T09:39:01,2017-02-19T09:41:01,561.516,7.43629,525.38,559.39,581.39,614.06
2017-02-19T10:31:01,2017-02-19T10:31:31,2017-02-19T10:32:01,568.379,4.76766,525.38,559.39,581.39,614.06
2017-02-19T10:33:01,2017-02-19T10:38:01,2017-02-19T10:43:01,568.518,5.10452,525.38,559.39,581.39,614.06
2017-02-19T10:44:01,2017-02-19T10:48:01,2017-02-19T10:52:01,567.924,5.92842,525.38,559.39,581.39,614.06
2017-02-19T11:24:01,2017-02-19T11:25:31,2017-02-19T11:27:01,561.453,9.01059,525.38,559.39,581.39,614.06
2017-02-19T12:17:01,2017-02-19T12:18:01,2017-02-19T12:19:01,568.863,5.825,525.38,559.39,581.39,614.06
2017-02-19T12:20:01,2017-02-19T12:24:01,2017-02-19T12:28:01,568.979,5.94793,525.38,559.39,581.39,614.06
2017-02-19T12:29:01,2017-02-19T12:34:01,2017-02-19T12:39:01,567.334,6.65594,525.38,559.39,581.39,614.06
2017-02-19T12:40:01,2017-02-19T12:41:31,2017-02-19T12:43:01,565.107,7.49298,525.38,559.39,581.39,614.06
2017-02-19T13:09:01,2017-02-19T13:09:01,2017-02-19T13:09:01,558.532,6.32499,525.38,559.39,581.39,614.06
2017-02-19T13:10:01,2017-02-19T13:12:01,2017-02-19T13:14:01,559.154,6.91864,525.38,559.39,581.39,614.06
2017-02-19T14:03:01,2017-02-19T14:03:31,2017-02-19T14:04:01,568.643,5.70489,525.38,559.39,581.39,614.06
2017-02-19T14:05:01,2017-02-19T14:10:01,2017-02-19T14:15:01,568.293,6.4035,525.38,559.39,581.39,614.06
2017-02-19T14:16:01,2017-02-19T14:20:01,2017-02-19T14:24:01,566.552,5.23145,525.38,559.39,581.39,614.06
2017-02-19T14:25:01,2017-02-19T14:29:31,2017-02-19T14:34:01,565.832,6.49496,525.38,559.39,581.39,614.06
2017-02-19T14:55:01,2017-02-19T14:57:31,2017-02-19T15:00:01,561.208,8.02309,525.38,559.39,581.39,614.06
2017-02-19T15:50:01,2017-02-19T15:50:31,2017-02-19T15:51:01,567.625,5.07405,525.38,559.39,581.39,614.06
2017-02-19T15:52:01,2017-02-19T15:56:01,2017-02-19T16:00:01,567.489,4.95437,525.38,559.39,581.39,614.06
2017-02-19T16:01:01,2017-02-19T16:06:01,2017-02-19T16:11:01,566.468,5.04889,525.38,559.39,581.39,614.06
2017-02-19T16:12:01,2017-02-19T16:16:31,2017-02-19T16:21:01,565.244,5.20957,525.38,559.39,581.39,614.06
2017-02-19T16:22:01,2017-02-19T16:23:01,2017-02-19T16:24:01,564.319,4.80068,525.38,559.39,581.39,614.06
2017-02-19T16:36:01,2017-02-19T16:38:31,2017-02-19T16:41:01,563.735,6.34792,525.38,559.39,581.39,614.06
2017-02-19T16:42:01,2017-02-19T16:44:01,2017-02-19T16:46:01,564.267,7.53129,525.38,559.39,581.39,614.06
2017-02-19T17:36:01,2017-02-19T17:37:01,2017-02-19T17:38:01,570.056,4.60172,525.38,559.39,581.39,614.06
2017-02-19T17:39:01,2017-02-19T17:43:01,2017-02-19T17:47:01,569.808,4.98951,525.38,559.39,581.39,614.06
2017-02-19T17:48:01,2017-02-19T17:52:31,2017-02-19T17:57:01,568.61,5.28583,525.38,559.39,581.39,614.06
2017-02-19T17:58:01,2017-02-19T18:02:31,2017-02-19T18:07:01,567.155,5.68161,525.38,559.39,581.39,614.06
2017-02-19T18:08:01,2017-02-19T18:11:31,2017-02-19T18:15:01,565.927,5.60179,525.38,559.39,581.39,614.06
2017-02-19T18:23:01,2017-02-19T18:25:01,2017-02-19T18:27:01,563.374,6.83951,525.38,559.39,581.39,614.06
2017-02-19T18:28:01,2017-02-19T18:30:01,2017-02-19T18:32:01,562.244,8.29072,525.38,559.39,581.39,614.06
2017-02-19T19:29:01,2017-02-19T19:31:31,2017-02-19T19:34:01,571.612,5.44657,525.38,559.39,581.39,614.06
2017-02-19T19:35:01,2017-02-19T19:39:01,2017-02-19T19:43:01,570.678,5.34149,525.38,559.39,581.39,614.06
2017-02-19T19:44:01,2017-02-19T19:48:31,2017-02-19T19:53:01,568.446,7.3684,525.38,559.39,581.39,614.06
2017-02-19T19:54:01,2017-02-19T19:59:01,2017-02-19T20:04:01,564.775,9.13033,525.38,559.39,581.39,614.06
2017-02-19T20:05:01,2017-02-19T20:09:01,2017-02-19T20:13:01,561.233,7.29558,525.38,559.39,581.39,614.06
2017-02-19T20:14:01,2017-02-19T20:16:01,2017-02-19T20:18:01,561.539,6.57421,525.38,559.39,581.39,614.06
2017-02-19T21:24:01,2017-02-19T21:26:31,2017-02-19T21:29:01,570.507,8.27978,525.38,559.39,581.39,614.06
2017-02-19T21:30:01,2017-02-19T21:35:01,2017-02-19T21:40:01,568.546,7.90471,525.38,559.39,581.39,614.06
2017-02-19T21:41:01,2017-02-19T21:45:01,2017-02-19T21:49:01,565.98,6.7339,525.38,559.39,581.39,614.06
2017-02-19T21:50:01,2017-02-19T21:55:01,2017-02-19T22:00:01,564.079,5.99478,525.38,559.39,581.39,614.06
2017-02-19T22:01:01,2017-02-19T22:03:01,2017-02-19T22:05:01,562.804,5.94061,525.38,559.39,581.39,614.06
